         4335 function calls in 2.059 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.000    0.000 parse.py:89(_noop)
        6    0.000    0.000    0.000    0.000 parse.py:930(splittag)
        6    0.000    0.000    0.000    0.000 parser.py:18(__init__)
        6    0.000    0.000    0.002    0.000 parser.py:42(parse)
        6    0.000    0.000    0.002    0.000 parser.py:60(parsestr)
        6    0.000    0.000    0.000    0.000 posixpath.py:145(dirname)
        6    0.000    0.000    0.000    0.000 posixpath.py:39(_get_sep)
       50    0.000    0.000    0.000    0.000 re.py:195(split)
       50    0.000    0.000    0.000    0.000 re.py:278(_compile)
        6    0.000    0.000    0.000    0.000 request.py:1160(do_request_)
        6    0.000    0.000    0.042    0.007 request.py:1200(do_open)
        6    0.000    0.000    0.000    0.000 request.py:1213(<genexpr>)
       36    0.000    0.000    0.000    0.000 request.py:1226(<genexpr>)
        6    0.000    0.000    0.042    0.007 request.py:1267(http_open)
        6    0.000    0.000    0.042    0.007 request.py:139(urlopen)
        6    0.000    0.000    0.000    0.000 request.py:247(request_host)
        6    0.000    0.000    0.001    0.000 request.py:265(__init__)
       20    0.000    0.000    0.000    0.000 request.py:283(full_url)
        6    0.000    0.000    0.000    0.000 request.py:289(full_url)
       24    0.000    0.000    0.000    0.000 request.py:302(data)
        6    0.000    0.000    0.000    0.000 request.py:306(data)
        6    0.000    0.000    0.000    0.000 request.py:320(_parse)
        6    0.000    0.000    0.000    0.000 request.py:328(get_method)
        6    0.000    0.000    0.000    0.000 request.py:333(get_full_url)
        6    0.000    0.000    0.000    0.000 request.py:344(has_proxy)
       24    0.000    0.000    0.000    0.000 request.py:351(add_unredirected_header)
       30    0.000    0.000    0.000    0.000 request.py:355(has_header)
       16    0.000    0.000    0.042    0.003 request.py:436(_call_chain)
        6    0.000    0.000    0.042    0.007 request.py:447(open)
        6    0.000    0.000    0.042    0.007 request.py:475(_open)
        2    0.000    0.000    0.000    0.000 request.py:490(error)
        6    0.000    0.000    0.000    0.000 request.py:574(http_response)
        2    0.000    0.000    0.000    0.000 request.py:588(http_error_default)
        2    0.000    0.000    0.000    0.000 response.py:19(__init__)
        2    0.000    0.000    0.000    0.000 response.py:60(__init__)
        2    0.000    0.000    0.000    0.000 response.py:71(__init__)
